"timestamp","normalized","db","avgFreq","rms","anomalyScore"
"2025-07-22T12:04:44.289Z",0,-60.85204932138715,4.0146484375,0.0009065620479611493,50
"2025-07-22T12:04:44.523Z",0,-62.618600889497486,2.2236328125,0.000739724419198544,50
"2025-07-22T12:04:44.789Z",0,-61.5572468278029,1.8984375,0.0008358679218550403,50
"2025-07-22T12:04:45.056Z",0,-62.18702823865031,2.013671875,0.0007774072528262767,50
"2025-07-22T12:04:45.322Z",0,-63.94006971357703,1.9990234375,0.0006353258326603012,50
"2025-07-22T12:04:45.589Z",0,-61.878858358982676,2.28125,0.0008054843041018487,50
"2025-07-22T12:04:46.619Z",0,-101.62580174059119,0,0.000008292966537170017,50
"2025-07-22T12:04:46.369Z",0,,0,0,50
"2025-07-22T12:04:46.873Z",42,-39.21994380062123,17.9033203125,0.010939634444033666,50
"2025-07-22T12:04:47.139Z",43,-38.430117514704065,17.1328125,0.011981029134904383,50
"2025-07-22T12:04:47.406Z",34,-42.91168919038738,14.681640625,0.007151802956974979,50
"2025-07-22T12:04:47.672Z",29,-45.46393240784043,10.6318359375,0.005330934906661177,50
"2025-07-22T12:04:47.939Z",29,-45.31823821957393,9.5712890625,0.005421108369294941,50
"2025-07-22T12:04:48.205Z",26,-47.21156388947015,11.384765625,0.0043593506707401706,50
"2025-07-22T12:04:48.472Z",21,-49.34745519798905,7.6708984375,0.003409001875026589,50
"2025-07-22T12:04:48.739Z",13,-53.39099250919625,4.9814453125,0.00214018036114357,50
"2025-07-22T12:04:49.005Z",19,-50.63729085948719,4.7880859375,0.002938566051694838,50
"2025-07-22T12:04:49.272Z",4,-58.028300139165204,3.5654296875,0.0012548302887736861,50
"2025-07-22T12:04:49.538Z",9,-55.50079475799511,3.87109375,0.001678650414757616,50
"2025-07-22T12:04:49.805Z",14,-53.124840034883476,5.33984375,0.0022067747101401133,50
"2025-07-22T12:04:50.055Z",9,-55.376635073271956,6.578125,0.0017028180549112173,50
"2025-07-22T12:04:50.322Z",2,-59.17552897987178,3.7626953125,0.0010995716930522277,50
"2025-07-22T12:04:50.573Z",2,-58.97194530689003,3.482421875,0.0011256483385103453,50
"2025-07-22T12:04:50.841Z",4,-57.753909130461906,3.7060546875,0.0012951036980830572,50
"2025-07-22T12:04:51.096Z",2,-59.11859970568014,3.373046875,0.001106802202536892,50
"2025-07-22T12:04:51.362Z",5,-57.719135432298536,3.162109375,0.0013002989994991758,50
"2025-07-22T12:04:51.622Z",8,-55.9470319778028,3.84765625,0.0015945876680943845,50
"2025-07-22T12:04:51.889Z",2,-59.01843937344356,3.5712890625,0.0011196390351647517,50
"2025-07-22T12:04:52.140Z",4,-57.90223265572177,3.3642578125,0.0012731757767721354,50
"2025-07-22T12:04:52.395Z",6,-57.24327227755536,3.3408203125,0.001373524422975574,50
"2025-07-22T12:04:52.656Z",18,-51.079808757800855,8.9404296875,0.0027926053269488734,50
"2025-07-22T12:04:52.922Z",6,-57.240183954197036,3.7001953125,0.001374012875159511,50
"2025-07-22T12:04:53.190Z",15,-52.36620950436837,4.541015625,0.0024081832135512647,50
"2025-07-22T12:04:53.457Z",0,-60.289778214604574,3.580078125,0.0009671884225115916,50
"2025-07-22T12:04:53.722Z",31,-44.35154792293314,25.447265625,0.006059302073469779,50
"2025-07-22T12:04:53.994Z",64,-28.172858830861163,43.9765625,0.03902627122231531,200
"2025-07-22T12:04:54.255Z",0,-76.97199908064341,16.44921875,0.00014170985249065867,50
"2025-07-22T12:04:54.804Z",0,,0,0,50
"2025-07-22T12:04:55.056Z",0,-101.9621795159455,0,0.000007977944747364495,50
"2025-07-22T12:04:55.322Z",44,-38.15155486880347,18.533203125,0.012371497068463428,50
"2025-07-22T12:04:55.574Z",39,-40.27135629251159,17.33984375,0.009692419113805445,50
"2025-07-22T12:04:55.840Z",37,-41.71662487980376,14.4072265625,0.008206703744313728,50
"2025-07-22T12:04:56.105Z",31,-44.540792062872626,11.12890625,0.00592871258417156,50
"2025-07-22T12:04:56.356Z",26,-46.78528672574358,8.7607421875,0.0045786312038750285,50
"2025-07-22T12:04:56.612Z",35,-42.28999569778467,36.888671875,0.0076824583619966615,50
"2025-07-22T12:04:56.872Z",20,-50.05592392023488,11.4931640625,0.003141982805168836,50
"2025-07-22T12:04:57.139Z",4,-57.983133720457914,3.408203125,0.001261372370905258,50
"2025-07-22T12:04:57.406Z",12,-54.17069971114442,2.41015625,0.0019564331567654934,50
"2025-07-22T12:04:57.675Z",1,-59.64860456884309,2.4150390625,0.0010412853818361884,50
"2025-07-22T12:04:57.942Z",0,-60.81522631348474,2.1591796875,0.0009104134901957042,50
"2025-07-22T12:04:58.206Z",4,-58.08870498273456,3.0107421875,0.0012461340149902485,50
"2025-07-22T12:04:58.472Z",0,-62.98414680310693,2.3115234375,0.0007092390833691397,50
"2025-07-22T12:04:58.739Z",0,-60.52362453423655,2.1533203125,0.0009414966374782765,50
"2025-07-22T12:04:59.006Z",0,-62.41003147175792,2.0703125,0.0007577019874640995,50
"2025-07-22T12:04:59.495Z",0,,0,0,50
"2025-07-22T12:04:59.757Z",0,-101.94638221730914,0,0.000007992467687186676,50
"2025-07-22T12:05:00.024Z",46,-36.7820305661665,22.56640625,0.014484332027684396,50
"2025-07-22T12:05:00.290Z",48,-36.161488188973365,32.2783203125,0.01555699064490411,50
"2025-07-22T12:05:00.545Z",35,-42.47633667804999,23.8623046875,0.007519399619848436,50
"2025-07-22T12:05:00.807Z",40,-39.86761412388283,17.59375,0.010153582310726461,50
